id,variante_principale,variante_ingredients,variante_permutation,actions_principale,actions_ingredients,actions_permutation,nb_principale,nb_ingredients,nb_permutation,title,category,number_of_steps,number_of_ingredients,complexity,flag_t6_complet,flag_t6_doublon,flag_t6_vide,flag_t6_anti_dup,flag_t6_global,cluster
168a47500e,"['chop', 'mix', 'cook', 'stir', 'cover', 'serve']","['chop', 'dice', 'slice', 'drain', 'toast', 'mix', 'stir', 'combine']","['cook', 'chop', 'stir', 'mix', 'cover', 'serve']","['chop', 'mix', 'cook', 'stir', 'cover', 'serve']","['chop', 'dice', 'slice', 'drain', 'toast', 'mix', 'stir', 'combine']","['cook', 'chop', 'stir', 'mix', 'cover', 'serve']",6,8,6,Mom's Broccoli Mandarin Salad,quick_prep,3,12,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,3
1688e1064c,"['chop', 'mash', 'heat', 'stir', 'toss', 'serve']","['chop', 'grate', 'measure', 'pour', 'devein', 'discard', 'heat', 'stir', 'toss', 'season']","['heat', 'toss', 'mash', 'stir', 'chop', 'serve']","['chop', 'mash', 'heat', 'stir', 'toss', 'serve']","['chop', 'grate', 'measure', 'pour', 'devein', 'discard', 'heat', 'stir', 'toss', 'season']","['heat', 'toss', 'mash', 'stir', 'chop', 'serve']",6,10,6,Sauteed Shrimp With Arugula,other,6,9,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,21
168048e24f,"['chop', 'steam', 'drain', 'dry', 'mix', 'heat', 'stir', 'season', 'serve']","['chop', 'measure', 'pour', 'drain', 'rinse', 'dry', 'slice', 'mix', 'heat', 'stir', 'season', 'add', 'serve']","['steam', 'dry', 'chop', 'drain', 'mix', 'heat', 'stir', 'season', 'serve']","['chop', 'steam', 'drain', 'dry', 'mix', 'heat', 'stir', 'season', 'serve']","['chop', 'measure', 'pour', 'drain', 'rinse', 'dry', 'slice', 'mix', 'heat', 'stir', 'season', 'add', 'serve']","['steam', 'dry', 'chop', 'drain', 'mix', 'heat', 'stir', 'season', 'serve']",9,13,9,Fettuccine Hungry Girlfredo Veggie Explosion! - Ww Points = 3,other,11,10,moyenne,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,15
168d9ea046,"['chop', 'toss', 'drizzle', 'sprinkle', 'mound', 'serve']","['chop', 'slice', 'drain', 'quarter', 'pour', 'sprinkle', 'toss', 'mound']","['toss', 'chop', 'sprinkle', 'drizzle', 'mound', 'serve']","['chop', 'toss', 'drizzle', 'sprinkle', 'mound', 'serve']","['chop', 'slice', 'drain', 'quarter', 'pour', 'sprinkle', 'toss', 'mound']","['toss', 'chop', 'sprinkle', 'drizzle', 'mound', 'serve']",6,8,6,Smoked Sardine Salad,quick_prep,3,8,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,10
168d28e897,"['chop', 'toss', 'drain', 'pat', 'mix', 'serve']","['chop', 'slice', 'peel', 'halve', 'salt', 'measure', 'pour', 'toss', 'mix']","['toss', 'chop', 'pat', 'drain', 'mix', 'serve']","['chop', 'toss', 'drain', 'pat', 'mix', 'serve']","['chop', 'slice', 'peel', 'halve', 'salt', 'measure', 'pour', 'toss', 'mix']","['toss', 'chop', 'pat', 'drain', 'mix', 'serve']",6,9,6,Cucumber Vegetable Salad With Cilantro & Red Onion,quick_prep,6,9,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,17
168edbd5d4,"['chop', 'mix', 'cover', 'refrigerate', 'serve']","['dice', 'chop', 'seed', 'peel', 'measure', 'pour', 'mix', 'season']","['refrigerate', 'cover', 'mix', 'chop', 'serve']","['chop', 'mix', 'cover', 'refrigerate', 'serve']","['dice', 'chop', 'seed', 'peel', 'measure', 'pour', 'mix', 'season']","['refrigerate', 'cover', 'mix', 'chop', 'serve']",5,8,5,Avocado Salsa,other,2,8,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,3
16943c994a,"['chop', 'mix', 'heat', 'break', 'serve']","['chop', 'dice', 'measure', 'pour', 'coat', 'toss', 'crisp']","['heat', 'chop', 'break', 'mix', 'serve']","['chop', 'mix', 'heat', 'break', 'serve']","['chop', 'dice', 'measure', 'pour', 'coat', 'toss', 'crisp']","['heat', 'chop', 'break', 'mix', 'serve']",5,7,5,Fattoush (Lebanese Salad),quick_prep,4,11,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,22
16958a04a3,"['chop', 'mix', 'run', 'scrape', 'spoon', 'serve']","['chop', 'seed', 'zest', 'juice', 'measure', 'mix', 'combine', 'run', 'scrape', 'spoon']","['run', 'scrape', 'mix', 'chop', 'spoon', 'serve']","['chop', 'mix', 'run', 'scrape', 'spoon', 'serve']","['chop', 'seed', 'zest', 'juice', 'measure', 'mix', 'combine', 'run', 'scrape', 'spoon']","['run', 'scrape', 'mix', 'chop', 'spoon', 'serve']",6,10,6,Simple Fresh Salsa,other,5,7,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,14
16861de707,"['sift', 'chop', 'rub', 'mix', 'roll', 'bake', 'pierce', 'fill', 'serve']","['sift', 'measure', 'chop', 'rub', 'mix', 'beat', 'pour', 'roll', 'bake', 'fill', 'serve']","['roll', 'mix', 'rub', 'chop', 'sift', 'bake', 'pierce', 'fill', 'serve']","['sift', 'chop', 'rub', 'mix', 'roll', 'bake', 'pierce', 'fill', 'serve']","['sift', 'measure', 'chop', 'rub', 'mix', 'beat', 'pour', 'roll', 'bake', 'fill', 'serve']","['roll', 'mix', 'rub', 'chop', 'sift', 'bake', 'pierce', 'fill', 'serve']",9,11,9,Crispy Tart Crust With Minimal Butter,bakery,23,7,elevee,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,11
1682a45568,"['grease', 'heat', 'stir', 'drain', 'layer', 'combine', 'pour', 'bake', 'sprinkle', 'cut']","['chop', 'measure', 'crumble', 'shred', 'drain', 'whisk', 'pour', 'layer', 'sprinkle', 'serve']","['heat', 'grease', 'drain', 'stir', 'layer', 'pour', 'combine', 'bake', 'sprinkle', 'cut']","['grease', 'heat', 'stir', 'drain', 'layer', 'combine', 'pour', 'bake', 'sprinkle', 'cut']","['chop', 'measure', 'crumble', 'shred', 'drain', 'whisk', 'pour', 'layer', 'sprinkle', 'serve']","['heat', 'grease', 'drain', 'stir', 'layer', 'pour', 'combine', 'bake', 'sprinkle', 'cut']",10,10,10,Corn Tortilla Quiche,bakery,10,10,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,15
16945ed58b,"['soak', 'steam', 'chop', 'mix', 'shape', 'cook', 'bake', 'serve']","['soak', 'steam', 'chop', 'dice', 'measure', 'mix', 'combine', 'shape', 'cook', 'bake', 'serve']","['steam', 'soak', 'chop', 'mix', 'shape', 'cook', 'bake', 'serve']","['soak', 'steam', 'chop', 'mix', 'shape', 'cook', 'bake', 'serve']","['soak', 'steam', 'chop', 'dice', 'measure', 'mix', 'combine', 'shape', 'cook', 'bake', 'serve']","['steam', 'soak', 'chop', 'mix', 'shape', 'cook', 'bake', 'serve']",8,11,8,Gardenburger Original Veggie Patty (Copycat),other,25,13,elevee,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,14
16968e442b,"['chop', 'mix', 'toss', 'serve']","['chop', 'slice', 'measure', 'pour', 'toss', 'arrange']","['toss', 'chop', 'mix', 'serve']","['chop', 'mix', 'toss', 'serve']","['chop', 'slice', 'measure', 'pour', 'toss', 'arrange']","['toss', 'chop', 'mix', 'serve']",4,6,4,Broccoli and Mozzarella Salad,quick_prep,3,6,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,17
169e3345fc,"['chop', 'toss', 'brush', 'bake', 'serve']","['dice', 'chop', 'peel', 'pit', 'toss', 'brush', 'season', 'bake', 'garnish', 'serve']","['brush', 'toss', 'chop', 'bake', 'serve']","['chop', 'toss', 'brush', 'bake', 'serve']","['dice', 'chop', 'peel', 'pit', 'toss', 'brush', 'season', 'bake', 'garnish', 'serve']","['brush', 'toss', 'chop', 'bake', 'serve']",5,10,5,Vickys Grilled Salmon with Tomato & Avocado Salsa,other,6,10,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,17
16904d4a1a,"['chop', 'mix', 'heat', 'simmer', 'serve']","['chop', 'dice', 'grate', 'measure', 'pour', 'mix', 'heat', 'simmer']","['heat', 'simmer', 'mix', 'chop', 'serve']","['chop', 'mix', 'heat', 'simmer', 'serve']","['chop', 'dice', 'grate', 'measure', 'pour', 'mix', 'heat', 'simmer']","['heat', 'simmer', 'mix', 'chop', 'serve']",5,8,5,Hearty Carrot Soup,stew,2,12,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,12
169dc37e42,"['chop', 'mix', 'season', 'serve']","['chop', 'mince', 'slice', 'measure', 'pour', 'mix', 'season']","['season', 'mix', 'chop', 'serve']","['chop', 'mix', 'season', 'serve']","['chop', 'mince', 'slice', 'measure', 'pour', 'mix', 'season']","['season', 'mix', 'chop', 'serve']",4,7,4,Roasted Corn and Tomato Salad,quick_prep,4,10,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,20
1690a50478,"['chop', 'roast', 'whisk', 'toss', 'cook', 'massage', 'layer', 'season', 'serve']","['chop', 'measure', 'whisk', 'toss', 'massage', 'crush', 'rinse', 'drizzle', 'sprinkle', 'layer', 'season']","['whisk', 'chop', 'toss', 'roast', 'massage', 'cook', 'layer', 'season', 'serve']","['chop', 'roast', 'whisk', 'toss', 'cook', 'massage', 'layer', 'season', 'serve']","['chop', 'measure', 'whisk', 'toss', 'massage', 'crush', 'rinse', 'drizzle', 'sprinkle', 'layer', 'season']","['whisk', 'chop', 'toss', 'roast', 'massage', 'cook', 'layer', 'season', 'serve']",9,11,9,Autumn Layered Salad with Butternut Squash and Quinoa,quick_prep,22,16,elevee,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,14
169071904e,"['chop', 'mix', 'heat', 'bake', 'cool', 'serve']","['chop', 'zest', 'measure', 'pour', 'whisk', 'fold', 'combine', 'mix', 'heat', 'bake', 'cool', 'serve']","['mix', 'chop', 'heat', 'bake', 'cool', 'serve']","['chop', 'mix', 'heat', 'bake', 'cool', 'serve']","['chop', 'zest', 'measure', 'pour', 'whisk', 'fold', 'combine', 'mix', 'heat', 'bake', 'cool', 'serve']","['mix', 'chop', 'heat', 'bake', 'cool', 'serve']",6,12,6,Lemon-Raspberry Muffins - Gluten Free or Regular,bakery,20,12,moyenne,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,1
169b856599,"['spread', 'layer', 'butter', 'heat', 'cook', 'serve']","['chop', 'slice', 'measure', 'spread', 'layer', 'mix', 'butter', 'heat', 'cook', 'assemble']","['heat', 'butter', 'layer', 'spread', 'cook', 'serve']","['spread', 'layer', 'butter', 'heat', 'cook', 'serve']","['chop', 'slice', 'measure', 'spread', 'layer', 'mix', 'butter', 'heat', 'cook', 'assemble']","['heat', 'butter', 'layer', 'spread', 'cook', 'serve']",6,10,6,Italian Pesto Panini,other,22,8,elevee,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,14
1697d48b8d,"['soak', 'mix', 'form', 'drop', 'cook', 'bake', 'broil', 'serve']","['chop', 'measure', 'soak', 'whisk', 'mix', 'form', 'spray', 'sprinkle', 'pour', 'cook', 'bake', 'broil']","['mix', 'soak', 'form', 'drop', 'cook', 'bake', 'broil', 'serve']","['soak', 'mix', 'form', 'drop', 'cook', 'bake', 'broil', 'serve']","['chop', 'measure', 'soak', 'whisk', 'mix', 'form', 'spray', 'sprinkle', 'pour', 'cook', 'bake', 'broil']","['mix', 'soak', 'form', 'drop', 'cook', 'bake', 'broil', 'serve']",8,12,8,Bigfatmomma's Famous Meatball Subs,other,21,12,elevee,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,14
1698e79ab0,"['chop', 'mix', 'serve']","['chop', 'drain', 'flake', 'measure', 'pour', 'mix']","['mix', 'chop', 'serve']","['chop', 'mix', 'serve']","['chop', 'drain', 'flake', 'measure', 'pour', 'mix']","['mix', 'chop', 'serve']",3,6,3,Creamy Tuna and Bacon Salad (Reduced Fat),quick_prep,2,6,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,23
16a2ccdf39,"['chop', 'heat', 'stir', 'cook', 'season', 'serve']","['chop', 'dice', 'mince', 'measure', 'pour', 'mix', 'stir', 'cook', 'season', 'garnish', 'serve']","['heat', 'chop', 'cook', 'stir', 'season', 'serve']","['chop', 'heat', 'stir', 'cook', 'season', 'serve']","['chop', 'dice', 'mince', 'measure', 'pour', 'mix', 'stir', 'cook', 'season', 'garnish', 'serve']","['heat', 'chop', 'cook', 'stir', 'season', 'serve']",6,11,6,"Chicken, Ham and Smoked Sausage Gumbo",stew,32,18,elevee,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,20
16a5dbc29b,"['pound', 'marinate', 'grill', 'toast', 'assemble']","['chop', 'measure', 'pour', 'slice', 'peel', 'seed']","['marinate', 'pound', 'grill', 'assemble', 'toast']","['pound', 'marinate', 'grill', 'toast', 'assemble']","['chop', 'measure', 'pour', 'slice', 'peel', 'seed']","['marinate', 'pound', 'grill', 'assemble', 'toast']",5,6,5,Chipotle Grilled Chicken with Avocado Sandwich,stew,15,9,moyenne,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,0
16a2ea1a94,"['chop', 'heat', 'saute', 'boil', 'sear', 'fry', 'drain', 'season', 'serve']","['chop', 'measure', 'peel', 'cut', 'wash', 'dry', 'brush', 'whisk', 'fold', 'reduce', 'pour', 'mix', 'season']","['heat', 'chop', 'saute', 'boil', 'sear', 'fry', 'drain', 'season', 'serve']","['chop', 'heat', 'saute', 'boil', 'sear', 'fry', 'drain', 'season', 'serve']","['chop', 'measure', 'peel', 'cut', 'wash', 'dry', 'brush', 'whisk', 'fold', 'reduce', 'pour', 'mix', 'season']","['heat', 'chop', 'saute', 'boil', 'sear', 'fry', 'drain', 'season', 'serve']",9,13,9,Seared Lake Superior Whitefish with a Mousseline Mustard Sauce over a Bed of Spinach and Mushrooms served with Saffron Potatoes,stew,33,17,elevee,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,2
16a9d7c7de,"['chop', 'mix', 'heat', 'season', 'serve']","['chop', 'dice', 'mince', 'measure', 'pour', 'mix', 'heat', 'season']","['heat', 'chop', 'mix', 'season', 'serve']","['chop', 'mix', 'heat', 'season', 'serve']","['chop', 'dice', 'mince', 'measure', 'pour', 'mix', 'heat', 'season']","['heat', 'chop', 'mix', 'season', 'serve']",5,8,5,Black Bean And Chile Salad Recipe,quick_prep,2,9,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,20
16a3291804,"['chop', 'mix', 'pour', 'wait', 'serve']","['chop', 'slice', 'peel', 'measure', 'pour', 'layer', 'wait', 'serve']","['pour', 'wait', 'chop', 'mix', 'serve']","['chop', 'mix', 'pour', 'wait', 'serve']","['chop', 'slice', 'peel', 'measure', 'pour', 'layer', 'wait', 'serve']","['pour', 'wait', 'chop', 'mix', 'serve']",5,8,5,Tequila Infusion,other,4,4,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,14
