id,type_2_tous,nb_type2
0095610c25,['variante_principale'],1
0095abaed6,['variante_ingredients'],1
0099743746,['variante_principale'],1
009bb21468,['variante_principale'],1
009be03846,['variante_principale'],1
009c79f532,['variante_principale'],1
009cde075e,['variante_principale'],1
009dcc87e2,['variante_principale'],1
009de17b69,['variante_principale'],1
009fdb3fa5,['variante_permutation'],1
00a09d4692,['variante_ingredients'],1
00a0a99923,['variante_permutation'],1
00a1c280c1,['variante_principale'],1
00a36d649f,['variante_ingredients'],1
00a39a8659,['variante_permutation'],1
00a3edb2bc,['variante_principale'],1
00a5ea402f,['variante_ingredients'],1
00a6057aa1,['variante_ingredients'],1
00a61534d2,['variante_ingredients'],1
00a9ae7cee,['variante_ingredients'],1
00ac059847,['variante_principale'],1
00ad13b92b,['variante_principale'],1
00adf188b7,['variante_ingredients'],1
00b0b38144,['variante_principale'],1
00b48dde3c,['variante_ingredients'],1
00b56e9038,['variante_ingredients'],1
00b56f4173,['variante_ingredients'],1
00b572ab0d,['variante_ingredients'],1
00b5973e3b,['variante_ingredients'],1
00b799eccd,['variante_principale'],1
00bd6b3338,['variante_principale'],1
00be093530,['variante_ingredients'],1
00bf11e099,['variante_ingredients'],1
00c13dd408,['variante_principale'],1
00c1a4929e,['variante_principale'],1
00c20394bd,"['variante_ingredients', 'variante_permutation']",2
00c30575d9,['variante_permutation'],1
00c51bc390,['variante_ingredients'],1
00c6be2b40,['variante_permutation'],1
00c94b9fd4,['variante_ingredients'],1
00c9daf455,['variante_principale'],1
00ca13c147,['variante_principale'],1
00ca46a312,['variante_principale'],1
00cb6adae1,['variante_ingredients'],1
00cbd77892,['variante_principale'],1
00cd46ae87,['variante_ingredients'],1
00cfe9b109,['variante_principale'],1
00d1640d79,['variante_ingredients'],1
00d1d3b376,['variante_ingredients'],1
00d200bd51,['variante_ingredients'],1
00d2e5454c,['variante_permutation'],1
00d348a947,['variante_ingredients'],1
00d5a21ab9,"['variante_ingredients', 'variante_permutation']",2
00d626611b,['variante_ingredients'],1
00d64f7843,['variante_principale'],1
00d7f80ecb,['variante_permutation'],1
00d85535a3,['variante_permutation'],1
00da4f7d60,['variante_ingredients'],1
00dd3e3502,['variante_principale'],1
00df1f2b8e,['variante_principale'],1
00df2146ce,['variante_principale'],1
00df5e81a1,['variante_ingredients'],1
00df7ff210,['variante_principale'],1
00e09c3152,['variante_principale'],1
00e268bfa6,['variante_ingredients'],1
00e2e51f6d,['variante_ingredients'],1
00e4af0e99,['variante_ingredients'],1
00e7021295,['variante_permutation'],1
00ebf5a46f,['variante_permutation'],1
00eeee40e7,['variante_principale'],1
00f0d2c31e,['variante_ingredients'],1
00f17a2d6d,['variante_principale'],1
00f184cd57,['variante_principale'],1
00f5483d2f,['variante_ingredients'],1
00f6063e66,['variante_ingredients'],1
00f623c987,['variante_ingredients'],1
00f9abcc43,['variante_principale'],1
00f9d218a3,['variante_ingredients'],1
00fb1642d3,"['variante_ingredients', 'variante_permutation']",2
00fb4c04b8,['variante_ingredients'],1
00fb6dba2f,['variante_ingredients'],1
00fc3fbe32,['variante_principale'],1
00fcb8fae9,['variante_ingredients'],1
00fcda312e,['variante_ingredients'],1
00fd08e37d,['variante_principale'],1
00fe2556e6,['variante_ingredients'],1
00fe4fc36f,['variante_ingredients'],1
00fed4798b,['variante_principale'],1
01000cfd2e,['variante_ingredients'],1
0102327582,['variante_principale'],1
0102939feb,['variante_ingredients'],1
01050ea294,['variante_ingredients'],1
0105429674,['variante_ingredients'],1
01060d337d,['variante_permutation'],1
01089e44aa,['variante_ingredients'],1
010b47ffa3,['variante_ingredients'],1
010b4fde85,['variante_principale'],1
010b56ba81,['variante_principale'],1
010b5b0974,['variante_ingredients'],1
010ba2c809,['variante_principale'],1
010cf3877a,['variante_ingredients'],1
010e3d735f,['variante_principale'],1
010e7c4dbc,['variante_ingredients'],1
010f1bc956,['variante_principale'],1
010fda3d67,['variante_ingredients'],1
0110b504d7,['variante_principale'],1
0111ae3cdf,['variante_ingredients'],1
01122bb07c,['variante_principale'],1
011357189d,['variante_principale'],1
01142f3d65,['variante_permutation'],1
01147f917f,['variante_principale'],1
0114e26f7b,['variante_ingredients'],1
0117e61c0d,['variante_principale'],1
011bb2aa74,['variante_ingredients'],1
011c1e3624,['variante_principale'],1
011d587b59,['variante_principale'],1
011ddd9bf1,['variante_ingredients'],1
011e9a4f14,['variante_ingredients'],1
011ee78360,['variante_ingredients'],1
01202892ba,['variante_ingredients'],1
0120f8d20c,['variante_principale'],1
01222147b3,['variante_permutation'],1
0122612931,['variante_ingredients'],1
01245e4195,['variante_principale'],1
01263ee32f,['variante_ingredients'],1
01267207f6,['variante_principale'],1
01291e33de,['variante_principale'],1
012a3aa101,"['variante_ingredients', 'variante_principale']",2
012a555d5a,['variante_principale'],1
012a739d49,['variante_ingredients'],1
012c7367dc,['variante_ingredients'],1
012fc52342,['variante_ingredients'],1
0130f0ee71,['variante_ingredients'],1
0132503fc2,['variante_principale'],1
01398a1d77,"['variante_ingredients', 'variante_permutation']",2
013a00b8b3,['variante_ingredients'],1
013b7ec51e,['variante_ingredients'],1
01405faffc,['variante_principale'],1
0140608cab,['variante_ingredients'],1
0143d736a9,['variante_principale'],1
01466e672d,['variante_ingredients'],1
0146d2c0eb,['variante_principale'],1
0148a60b81,['variante_ingredients'],1
0149b39e1f,['variante_permutation'],1
014ae10ce6,"['variante_ingredients', 'variante_permutation']",2
014af13b70,['variante_ingredients'],1
014bbacf59,['variante_ingredients'],1
014bd468ba,['variante_ingredients'],1
014cc81552,['variante_principale'],1
014cea6cc2,['variante_principale'],1
014dab57e6,['variante_principale'],1
014e5a94b3,['variante_ingredients'],1
014f606f82,['variante_ingredients'],1
0150baf6de,['variante_permutation'],1
01513907fe,['variante_permutation'],1
01531af0ed,['variante_ingredients'],1
0155631124,['variante_ingredients'],1
015612ddfb,['variante_ingredients'],1
0157f32648,['variante_ingredients'],1
015e29e043,['variante_principale'],1
0161764895,['variante_ingredients'],1
01671c6cc2,"['variante_ingredients', 'variante_permutation']",2
0167a06aa1,['variante_ingredients'],1
0168e165b2,['variante_principale'],1
016902a9d4,"['variante_ingredients', 'variante_permutation']",2
016eb91c64,['variante_ingredients'],1
016f300072,['variante_ingredients'],1
016fe7abe3,['variante_permutation'],1
01709fcf53,['variante_ingredients'],1
0174454723,['variante_permutation'],1
01775a5482,['variante_ingredients'],1
017977759e,['variante_ingredients'],1
017e7a52c6,['variante_permutation'],1
01859e9d99,['variante_ingredients'],1
01860aec98,['variante_principale'],1
0187871932,['variante_principale'],1
0188d58e42,['variante_ingredients'],1
018afb6697,['variante_permutation'],1
018b9f5e71,['variante_ingredients'],1
018ccd1d91,['variante_ingredients'],1
018ce1cfc3,['variante_ingredients'],1
018d9e5cee,['variante_principale'],1
018f341453,['variante_ingredients'],1
019081e202,['variante_permutation'],1
01911a5317,['variante_principale'],1
0191b33c83,['variante_ingredients'],1
0196d80404,['variante_ingredients'],1
0197ad7d59,['variante_ingredients'],1
0197f65be7,['variante_permutation'],1
0198e70e41,['variante_ingredients'],1
01994c2dba,['variante_ingredients'],1
0199b740a7,['variante_ingredients'],1
019e5feffa,['variante_ingredients'],1
019fa650e2,['variante_ingredients'],1
01a46beb9d,['variante_ingredients'],1
01a49f4adb,['variante_permutation'],1
01a965a86e,['variante_ingredients'],1
01a9a9583f,['variante_ingredients'],1
01aa19ee6f,['variante_principale'],1
01ac3e8bb4,['variante_ingredients'],1
01acdda7a7,['variante_ingredients'],1
01add44986,['variante_permutation'],1
01ae28d68c,['variante_permutation'],1
01ae8e1bad,"['variante_permutation', 'variante_principale']",2
01b683038a,['variante_ingredients'],1
01bb0771a1,['variante_permutation'],1
01beba9e51,['variante_permutation'],1
01c312d253,['variante_ingredients'],1
01c39c08e5,['variante_principale'],1
01c577e420,['variante_ingredients'],1
01c67c3545,['variante_ingredients'],1
01c9ceaab4,['variante_ingredients'],1
01cad709cf,['variante_ingredients'],1
01cb0582a4,['variante_ingredients'],1
01ccffca02,['variante_ingredients'],1
01cd8a8a00,"['variante_ingredients', 'variante_permutation']",2
01cf314540,['variante_ingredients'],1
01cfe9c600,['variante_ingredients'],1
01d098f8d8,['variante_ingredients'],1
01d3fd3968,"['variante_ingredients', 'variante_permutation']",2
01d7337f2b,['variante_ingredients'],1
01db6b14cc,"['variante_ingredients', 'variante_permutation']",2
01db876dc1,['variante_ingredients'],1
01dd133b75,['variante_permutation'],1
01dd736673,"['variante_ingredients', 'variante_permutation']",2
01de257cc2,['variante_permutation'],1
01e03699c2,['variante_principale'],1
01e1297878,['variante_ingredients'],1
01e26199b3,['variante_ingredients'],1
01e4f2c659,['variante_ingredients'],1
01e8e62f79,['variante_ingredients'],1
01ea35620d,['variante_principale'],1
01eacc1b55,['variante_principale'],1
01eb226e2b,['variante_principale'],1
01ec0e7279,['variante_ingredients'],1
01ec1b9284,"['variante_ingredients', 'variante_permutation']",2
01ed8975aa,['variante_ingredients'],1
01f00d1e73,['variante_permutation'],1
01f091da60,['variante_ingredients'],1
01f27990ff,['variante_principale'],1
01f5d76117,['variante_ingredients'],1
01f625bbe7,['variante_ingredients'],1
01f711974a,"['variante_ingredients', 'variante_permutation']",2
01f8291120,['variante_ingredients'],1
01f84082a0,['variante_ingredients'],1
01f8a01a3e,['variante_ingredients'],1
01fa12d6d1,['variante_ingredients'],1
01fa319ef7,['variante_ingredients'],1
01fc0925b9,['variante_ingredients'],1
01fe13b28b,['variante_ingredients'],1
0201ae6150,['variante_principale'],1
02049da263,['variante_ingredients'],1
0207368f0f,['variante_ingredients'],1
020768970b,['variante_ingredients'],1
020911ab3d,['variante_principale'],1
0209912af2,['variante_ingredients'],1
020b66936d,['variante_ingredients'],1
020b7f0a98,"['variante_ingredients', 'variante_permutation']",2
020c1c7487,['variante_principale'],1
020e1fadfa,['variante_ingredients'],1
020ea1e2f4,['variante_ingredients'],1
02101e5e2c,['variante_ingredients'],1
0210624902,['variante_ingredients'],1
0218d317c6,['variante_ingredients'],1
02191f4b05,['variante_principale'],1
021c1b02da,['variante_permutation'],1
021cfc030c,['variante_ingredients'],1
021d091cec,['variante_permutation'],1
021e79d99d,['variante_ingredients'],1
021f7cc45b,['variante_ingredients'],1
021fa343ff,['variante_ingredients'],1
0222c9c5c4,['variante_ingredients'],1
0224ef8059,['variante_ingredients'],1
02264dd398,['variante_principale'],1
0227a3499e,"['variante_ingredients', 'variante_permutation']",2
0228a8dfdd,['variante_ingredients'],1
022c9960be,['variante_ingredients'],1
022f4cdeb9,['variante_permutation'],1
023098149a,['variante_ingredients'],1
0231be73fd,['variante_ingredients'],1
02329ae9da,['variante_ingredients'],1
023381dfbe,['variante_ingredients'],1
02398fa462,['variante_ingredients'],1
0239f601e7,['variante_ingredients'],1
023d3a7c7a,['variante_ingredients'],1
024232289a,['variante_ingredients'],1
0248b9e5e7,['variante_ingredients'],1
0249131c1d,['variante_ingredients'],1
024bfa48be,['variante_ingredients'],1
024c8e2784,"['variante_ingredients', 'variante_permutation']",2
024ca59ee9,['variante_principale'],1
024d82bd48,['variante_ingredients'],1
024ff24feb,['variante_ingredients'],1
02515ca7b9,"['variante_ingredients', 'variante_permutation']",2
02540bd21a,['variante_principale'],1
02554e353f,['variante_ingredients'],1
025634fd4f,['variante_ingredients'],1
02563852ad,['variante_principale'],1
0256a9c07d,['variante_ingredients'],1
0258cb55cf,['variante_permutation'],1
0258fff13d,['variante_ingredients'],1
0259ab6f4e,['variante_ingredients'],1
02627458b6,['variante_ingredients'],1
026732b365,['variante_ingredients'],1
02676e3bc4,['variante_ingredients'],1
02696a3d36,['variante_ingredients'],1
026a45755c,['variante_ingredients'],1
026cb51dc2,['variante_ingredients'],1
026da70afa,['variante_ingredients'],1
026ecf2f2b,['variante_ingredients'],1
026f01daaf,['variante_ingredients'],1
026f174582,['variante_ingredients'],1
026f2516cd,['variante_ingredients'],1
026f93fbea,['variante_ingredients'],1
0271a73b58,['variante_ingredients'],1
0274c48527,['variante_permutation'],1
0274d76077,['variante_ingredients'],1
0275c142eb,['variante_ingredients'],1
02767ad614,['variante_ingredients'],1
0276a84ad9,['variante_principale'],1
027c6dc089,['variante_ingredients'],1
028000c42f,['variante_ingredients'],1
028102723f,['variante_ingredients'],1
02826cd006,['variante_permutation'],1
02828f1695,['variante_ingredients'],1
0283156638,['variante_permutation'],1
02835a2e33,['variante_ingredients'],1
0285f09174,['variante_ingredients'],1
0286256742,['variante_ingredients'],1
02882f76e5,['variante_ingredients'],1
0288c3eae0,['variante_ingredients'],1
029035a7c0,['variante_ingredients'],1
0292cc766f,['variante_ingredients'],1
029401df9d,['variante_ingredients'],1
02943cfbc4,['variante_ingredients'],1
02957a5cec,['variante_ingredients'],1
029aae56b2,['variante_permutation'],1
029b3862bf,['variante_ingredients'],1
029b8d7d4b,"['variante_ingredients', 'variante_permutation']",2
029bb2f277,['variante_ingredients'],1
02a3bd8e9c,['variante_ingredients'],1
02a595de94,['variante_ingredients'],1
02a78ac124,['variante_ingredients'],1
02a9a2e38c,['variante_ingredients'],1
02aa04af4c,['variante_ingredients'],1
02afbb55e0,['variante_principale'],1
02b1493a6a,['variante_ingredients'],1
02b1542927,['variante_ingredients'],1
02b1e6e611,['variante_ingredients'],1
02b216f008,['variante_ingredients'],1
02b2b33ab5,['variante_ingredients'],1
02b42fc15e,['variante_ingredients'],1
02b48a2c98,['variante_ingredients'],1
02b624609a,['variante_ingredients'],1
02b89c1a93,['variante_ingredients'],1
02ba01baa6,['variante_ingredients'],1
02c0fa8639,['variante_ingredients'],1
02c3f82d5e,['variante_principale'],1
02c46b6dd1,['variante_ingredients'],1
02c69e0567,['variante_permutation'],1
02c7170c59,['variante_principale'],1
02c864ccd0,['variante_ingredients'],1
02c90f7b04,['variante_ingredients'],1
02c96c17cb,['variante_permutation'],1
02cf591517,['variante_permutation'],1
02d1936ef7,['variante_ingredients'],1
02d1962f8d,['variante_ingredients'],1
02d2f62de3,['variante_ingredients'],1
02d328b310,['variante_ingredients'],1
02d3e77b11,['variante_ingredients'],1
02d442e8c8,['variante_ingredients'],1
02d54f72dd,['variante_ingredients'],1
02d5a7c95a,['variante_principale'],1
02d7b0962c,['variante_ingredients'],1
02d9896b09,['variante_ingredients'],1
02e560c312,['variante_permutation'],1
02e84be381,['variante_ingredients'],1
02e96050ef,['variante_ingredients'],1
02eb04783b,['variante_ingredients'],1
02ebc58897,['variante_ingredients'],1
02edc902d7,['variante_principale'],1
02eec33883,['variante_ingredients'],1
02f20782e7,['variante_ingredients'],1
02f27c222f,['variante_principale'],1
02f34ea7a4,['variante_ingredients'],1
02f41a5361,['variante_ingredients'],1
02f4f147ba,['variante_ingredients'],1
02f5a54dc9,['variante_ingredients'],1
02f60a0b0b,['variante_permutation'],1
02f7717932,['variante_ingredients'],1
02f7dacb89,['variante_ingredients'],1
02f9623ca1,['variante_ingredients'],1
02fb32c021,['variante_ingredients'],1
02fdd6bc1b,['variante_permutation'],1
02fe436a80,"['variante_ingredients', 'variante_permutation']",2
02ff3c81aa,['variante_ingredients'],1
02ffe8e2c5,['variante_ingredients'],1
0305218aa5,['variante_ingredients'],1
03054d5eb3,['variante_permutation'],1
03068e4d95,['variante_permutation'],1
03083ef0d3,['variante_ingredients'],1
0309108ac5,['variante_ingredients'],1
0309dc1f7f,['variante_ingredients'],1
030b7b5679,['variante_ingredients'],1
030ff2026c,['variante_ingredients'],1
03101fc7d1,['variante_ingredients'],1
03134b8a5b,['variante_ingredients'],1
03153d6522,['variante_ingredients'],1
03157d6460,['variante_permutation'],1
0317712adc,['variante_ingredients'],1
03180b35fe,"['variante_ingredients', 'variante_permutation']",2
031827129f,['variante_ingredients'],1
03188d418a,['variante_principale'],1
0318c3e6f6,['variante_ingredients'],1
031a3838e0,['variante_ingredients'],1
031cf8a088,['variante_ingredients'],1
031edfe0a4,['variante_ingredients'],1
0320aae1d9,['variante_ingredients'],1
0321266506,['variante_ingredients'],1
0321fe0c90,['variante_principale'],1
0322bc813d,['variante_ingredients'],1
0323105795,['variante_ingredients'],1
0328c56034,"['variante_ingredients', 'variante_permutation']",2
0328e7fda4,['variante_ingredients'],1
032cb690bc,['variante_ingredients'],1
032e934be0,['variante_ingredients'],1
0330ee0cbf,['variante_ingredients'],1
03319de415,['variante_ingredients'],1
0331f8db01,['variante_ingredients'],1
03343fe614,['variante_ingredients'],1
0335290961,['variante_ingredients'],1
03380d9204,['variante_ingredients'],1
03383a039f,['variante_ingredients'],1
033a9e6bb6,['variante_ingredients'],1
033bf8415d,['variante_ingredients'],1
0341502c54,['variante_ingredients'],1
034481deaf,['variante_ingredients'],1
0347e0714c,['variante_ingredients'],1
034a5ee716,['variante_ingredients'],1
034d5468f4,['variante_ingredients'],1
034d9ec180,['variante_ingredients'],1
034edd51ec,['variante_permutation'],1
035046f1b2,"['variante_ingredients', 'variante_permutation']",2
0350e234d8,['variante_ingredients'],1
0352887ddc,['variante_permutation'],1
03541a4557,['variante_ingredients'],1
035479d736,['variante_ingredients'],1
03560b964f,['variante_ingredients'],1
0357f5ead4,['variante_ingredients'],1
0358565163,['variante_ingredients'],1
03599eb16f,['variante_ingredients'],1
0359e71357,['variante_permutation'],1
035ab64c50,['variante_ingredients'],1
035aceb214,['variante_ingredients'],1
035b268b84,['variante_ingredients'],1
035b8165a1,['variante_ingredients'],1
035c05f24a,['variante_ingredients'],1
035f3a2de2,['variante_ingredients'],1
03601c27d9,['variante_ingredients'],1
03606ca959,['variante_ingredients'],1
0360d40f33,['variante_principale'],1
036120ed22,['variante_ingredients'],1
03627c45ac,['variante_principale'],1
0366e7bb3f,['variante_permutation'],1
03680685dd,"['variante_ingredients', 'variante_permutation']",2
03697d261c,['variante_permutation'],1
036a0d33c0,['variante_ingredients'],1
036ad34319,['variante_ingredients'],1
036e6a82f1,['variante_permutation'],1
0373230086,['variante_ingredients'],1
0374220667,['variante_ingredients'],1
037556552a,['variante_ingredients'],1
0376d1abe7,['variante_ingredients'],1
037d28519c,['variante_ingredients'],1
0381231483,['variante_ingredients'],1
038370a18a,['variante_ingredients'],1
0383d211fd,['variante_ingredients'],1
0384b75803,['variante_ingredients'],1
0389f21904,['variante_ingredients'],1
038aecf553,['variante_ingredients'],1
038b1e2397,['variante_principale'],1
038c8576bb,['variante_ingredients'],1
038d4fe3ae,['variante_ingredients'],1
038fa228a0,['variante_ingredients'],1
0391527680,['variante_permutation'],1
03917e4122,['variante_ingredients'],1
039198c6bb,['variante_ingredients'],1
0396a5d197,['variante_ingredients'],1
0399e72cf1,['variante_ingredients'],1
039b4aa5d3,['variante_ingredients'],1
039bde7737,['variante_ingredients'],1
039c9f41db,['variante_ingredients'],1
039cb1c151,['variante_permutation'],1
039cfba28f,['variante_ingredients'],1
039d8b0dd4,['variante_ingredients'],1
039f60589b,['variante_ingredients'],1
03a1490857,['variante_ingredients'],1
03a2cfabf2,['variante_ingredients'],1
03a43406d0,['variante_ingredients'],1
03a51b600f,['variante_ingredients'],1
03a5d2fcb2,['variante_ingredients'],1
03a7367a31,['variante_ingredients'],1
03a98e4aff,['variante_ingredients'],1
03ab98a823,['variante_principale'],1
03ad0d5e04,['variante_ingredients'],1
03ad8d397a,['variante_principale'],1
03aed66bee,['variante_ingredients'],1
03b1f7bc66,['variante_ingredients'],1
03b2352632,['variante_ingredients'],1
03b3a2cc0f,['variante_ingredients'],1
03b45ecf00,['variante_ingredients'],1
03b5351983,['variante_permutation'],1
03b590aeed,['variante_principale'],1
03b8ad88c6,"['variante_permutation', 'variante_principale']",2
03b8c56a67,['variante_ingredients'],1
03b8febefa,['variante_ingredients'],1
03b92453ab,['variante_ingredients'],1
03b9aa0f65,['variante_ingredients'],1
03b9deb93c,['variante_ingredients'],1
03ba0578c9,['variante_ingredients'],1
03baba67d8,"['variante_ingredients', 'variante_permutation']",2
03bbb3ad36,['variante_ingredients'],1
03bccd3266,['variante_ingredients'],1
03be1204d4,['variante_ingredients'],1
03bebffd82,['variante_ingredients'],1
03c3040939,['variante_principale'],1
03c52534d7,['variante_ingredients'],1
03cafdf5a6,['variante_ingredients'],1
03cb196a8b,['variante_ingredients'],1
03ce96a387,['variante_ingredients'],1
03d1a0595d,['variante_ingredients'],1
03d34a2979,['variante_ingredients'],1
03d358b053,['variante_ingredients'],1
03d56b64d9,['variante_ingredients'],1
03d9d214ea,['variante_ingredients'],1
03dea7e3bc,['variante_ingredients'],1
03e17dbee6,['variante_ingredients'],1
03e22f7f45,['variante_permutation'],1
03e41dd21a,['variante_permutation'],1
03e562eab1,['variante_ingredients'],1
03e6d16d0b,['variante_principale'],1
03eae9d2bc,['variante_ingredients'],1
03ed94fb15,['variante_ingredients'],1
03ee0b2da9,['variante_ingredients'],1
03ee3407a0,['variante_permutation'],1
03efd12e74,['variante_ingredients'],1
03f015cf17,['variante_ingredients'],1
03f2359841,['variante_ingredients'],1
03f28ff844,['variante_ingredients'],1
03f41da3eb,['variante_ingredients'],1
03f4f7e6bd,['variante_ingredients'],1
03f580a5fa,['variante_ingredients'],1
03f5b2e95c,['variante_ingredients'],1
03fa3c1805,['variante_ingredients'],1
03fce897bc,['variante_permutation'],1
03fd68590a,['variante_ingredients'],1
040092946d,['variante_ingredients'],1
0401f21c9e,['variante_ingredients'],1
0406fe6144,['variante_ingredients'],1
04071e4ccf,['variante_permutation'],1
04092268d9,['variante_ingredients'],1
040dda1eaa,['variante_permutation'],1
040e9c4e47,['variante_ingredients'],1
041216593f,['variante_ingredients'],1
04152c60a2,['variante_ingredients'],1
04173f20ef,['variante_ingredients'],1
041754e7a4,['variante_ingredients'],1
0418ddc204,['variante_ingredients'],1
041bf2dc1f,"['variante_ingredients', 'variante_permutation']",2
041d187e4b,['variante_ingredients'],1
041dded678,['variante_ingredients'],1
04205e6f64,['variante_ingredients'],1
042067a38f,['variante_ingredients'],1
0422fe6048,['variante_ingredients'],1
04243bd737,['variante_ingredients'],1
0427338aed,['variante_ingredients'],1
042b7f1daa,['variante_ingredients'],1
0432a9bef4,['variante_ingredients'],1
04362e72cf,['variante_ingredients'],1
0436f9e058,['variante_ingredients'],1
0437603fcc,['variante_ingredients'],1
0438c996b4,['variante_ingredients'],1
043c0bff6d,['variante_permutation'],1
043d187560,['variante_ingredients'],1
043d2be740,['variante_ingredients'],1
043db9682f,['variante_ingredients'],1
043e49eb94,['variante_ingredients'],1
043fa87cc3,['variante_ingredients'],1
0445de99f1,['variante_ingredients'],1
0448b56a27,['variante_ingredients'],1
0449ab06b5,['variante_permutation'],1
044a8c1b8b,['variante_ingredients'],1
044be9802a,['variante_ingredients'],1
0451128360,['variante_permutation'],1
04524b52fe,"['variante_ingredients', 'variante_permutation']",2
0452796bb3,['variante_ingredients'],1
0458dceea2,['variante_ingredients'],1
045b06abae,['variante_ingredients'],1
045b07dcfc,['variante_ingredients'],1
045c6087ea,['variante_permutation'],1
045f6bef22,['variante_ingredients'],1
04610a3b5c,['variante_ingredients'],1
0462c671ce,['variante_ingredients'],1
0463120d37,['variante_ingredients'],1
04641d3d3a,['variante_ingredients'],1
04657e51f3,['variante_ingredients'],1
046ac65796,['variante_ingredients'],1
046d3e7a46,['variante_ingredients'],1
046e092ca6,['variante_ingredients'],1
046e5c398e,['variante_ingredients'],1
0470f1105d,['variante_ingredients'],1
0473a2a290,['variante_ingredients'],1
0475f05dd3,['variante_ingredients'],1
0476da0adf,['variante_ingredients'],1
047addb3c7,"['variante_ingredients', 'variante_permutation']",2
047ae56d1d,['variante_ingredients'],1
047f3fbf8d,['variante_permutation'],1
04822fcbb7,['variante_ingredients'],1
04828d3410,"['variante_ingredients', 'variante_permutation']",2
048671271d,['variante_ingredients'],1
048913f96f,['variante_ingredients'],1
048a3c41b4,['variante_ingredients'],1
048a8d64eb,['variante_ingredients'],1
0492381f7d,['variante_ingredients'],1
0493300461,"['variante_ingredients', 'variante_principale']",2
04954a27c8,"['variante_ingredients', 'variante_permutation']",2
0496428ead,['variante_ingredients'],1
0497c10e6e,['variante_ingredients'],1
049920f7d2,['variante_ingredients'],1
04a065137e,['variante_permutation'],1
04a10ffca1,['variante_ingredients'],1
04a1f4af32,['variante_ingredients'],1
04a33eef6d,['variante_ingredients'],1
04a3ad5d92,['variante_ingredients'],1
04a54f4c35,"['variante_permutation', 'variante_principale']",2
04a5cfeeef,['variante_ingredients'],1
04a71303df,['variante_ingredients'],1
04a79bb36e,['variante_ingredients'],1
04a99da136,['variante_principale'],1
04aa1f876f,"['variante_ingredients', 'variante_permutation']",2
04ab15cabd,['variante_ingredients'],1
